First Day - 30th of March 2023,,
Starting Time,Ending Time,Activity
10:00,10:50,Hackathon registration and coffee reception 
10:55,11:25,Introduction
11:30,12:10,Teams formation
12:15,13:15,Lunch
13:15,15:15,First work session
15:20,15:40,Coffee break
15:45,17:30,Second work session
Second Day - 31st of March 2023,,
Starting Time,Ending Time,Activity
10:00,12:10,Third work session
12:15,13:15,Lunch
13:20,15:00,Wrapping up with your solutions
15:00,15:25,Coffee break
15:30,17:30,Final presentations
